Workshopname,Preis,Einheiten,Pole Studio,URL_E
Stretching - Spagat,Ausgebucht,6 Einheiten,Luftbonbon,https://www.eversports.de/e/workshop/PqgxSSN
Frame Up Choreo mit Anna,"ab 39,00 €",1 Einheit,Vertical - Pole Aerial Dance,https://www.eversports.de/e/workshop/VJq5Njd
LET'S BURLESQUE!,"ab 39,00 €",1 Einheit,Vertical - Pole Aerial Dance,https://www.eversports.de/e/workshop/LL6Knk0
Aerial Yoga Open Level ,"ab 34,00 €",2 Einheiten,FlyHigh Aerial Fitness,https://www.eversports.de/e/workshop/i9Z1RrD
Pole Beginner 2 - First STEPS  WS ,"ab 25,00 €",4 Einheiten,Polea - Pole and Aerial Dance,https://www.eversports.de/e/workshop/xXl3mKf
Exotic Pole Dance | Beginner,Ausgebucht,1 Einheit,Pole Dance Krefeld,https://www.eversports.de/e/workshop/_LQRruK
Chair Dance | alle Level,Ausgebucht,1 Einheit,Pole Dance Krefeld,https://www.eversports.de/e/workshop/-vGIMzu
Pole Dance Probestunde,"ab 0,00 €",2 Einheiten,Flow Fusion Pole-Aerial-Dance Studio,https://www.eversports.de/e/workshop/WolEQan
Stretching & Mobility,"ab 0,00 €",1 Einheit,Flow Fusion Pole-Aerial-Dance Studio,https://www.eversports.de/e/workshop/8lOcxEO
Burlesque Fusion Dance Workshop,"ab 40,00 €",1 Einheit,Flow Fusion Pole-Aerial-Dance Studio,https://www.eversports.de/e/workshop/EeidvQO
Strip Plastic mit BendyGio,"ab 69,00 €",1 Einheit,Pole and Move Heidelberg,https://www.eversports.de/e/workshop/xpUUbAx
Spinning Flexy Illusions mit BendyGio,"ab 69,00 €",1 Einheit,Pole and Move Heidelberg,https://www.eversports.de/e/workshop/yXAMy8l
Twerking Workshop ,"ab 30,00 €",1 Einheit,Pole and Move Heidelberg,https://www.eversports.de/e/workshop/ioRS-mE
Dan Rosen - Dynamic Heels,"ab 70,00 €",1 Einheit,Pole and Move Heidelberg,https://www.eversports.de/e/workshop/mI91ydw
Dan Rosen - Heels Flow,"ab 70,00 €",1 Einheit,Pole and Move Heidelberg,https://www.eversports.de/e/workshop/Ngcpd4l
Dan Rosen - Dan's Favourite Combo's,"ab 70,00 €",1 Einheit,Pole and Move Heidelberg,https://www.eversports.de/e/workshop/ij8VZCH
Pole Double Workshop ,"ab 30,00 €",1 Einheit,Pole and Move Heidelberg,https://www.eversports.de/e/workshop/Met7fdZ
Pole Tricks & Transitions - Beginner Workshop ,Ausgebucht,1 Einheit,Stadtgazellen Bremen,https://www.eversports.de/e/workshop/WRl24o5
Regrips and flips in combos - Intermediate Workshop,Ausgebucht,1 Einheit,Stadtgazellen Bremen,https://www.eversports.de/e/workshop/wrZkEQ3
Twerk Workshop mit Karina,"ab 40,00 €",1 Einheit,Stadtgazellen Bremen,https://www.eversports.de/e/workshop/giK-D6N
Lyrical Pole - mit Anne-Marie Kot,"ab 69,00 €",1 Einheit,Pole and Move Ketsch,https://www.eversports.de/e/workshop/nz_DDh6
Exotik Old School - mit Anne-Marie Kot,"ab 69,00 €",1 Einheit,Pole and Move Ketsch,https://www.eversports.de/e/workshop/DGu8Tq6
Aerial Kids Workshop: Vertikaltuch Beginner,"ab 30,00 €",1 Einheit,schwerelos Münster,https://www.eversports.de/e/workshop/fVM0ULF
Aerial Kids Workshop: Vertikaltuch Beginner,"ab 30,00 €",1 Einheit,schwerelos Münster,https://www.eversports.de/e/workshop/9fkoAyU
Aerial Kids Workshop: Vertikaltuch Beginner,Ausgebucht,1 Einheit,schwerelos Münster,https://www.eversports.de/e/workshop/leDNfNr
Aerial Kids Workshop: Vertikaltuch FORTGESCHRITTENE,"ab 30,00 €",1 Einheit,schwerelos Münster,https://www.eversports.de/e/workshop/ahCVYvh
Aerial Kids Workshop: Vertikaltuch Beginner,"ab 30,00 €",1 Einheit,schwerelos Münster,https://www.eversports.de/e/workshop/RjsCf5S
Aerial Kids Workshop: Vertikaltuch MITTELSTUFE,"ab 30,00 €",1 Einheit,schwerelos Münster,https://www.eversports.de/e/workshop/ZOxKKrM
Aerial Kids Workshop: Luftring Beginner,"ab 30,00 €",1 Einheit,schwerelos Münster,https://www.eversports.de/e/workshop/Zq0GQNB
Aerial Kids Workshop: Vertikaltuch FORTGESCHRITTENE,"ab 30,00 €",1 Einheit,schwerelos Münster,https://www.eversports.de/e/workshop/xPGUjbS
